"port_authority","facility","company","cargo_mt","company_clean","port_authority_short","province","iso2"
"Aliağa Bölge Liman Başkanlığı","TÜPRAŞ","İzmir Aliağa Rafinerisi",15088213,"IZMIR ALIAGA RAFINERISI","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","STAR RAFİNERİ A.Ş",12114504.294,"STAR RAFINERI A S","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","SOCAR",1173424,"SOCAR","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","PETKİM",222422.876,"PETKIM","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","POAŞ",93866.948,"POAS","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","SHELL/ISTANBUL JET/SOCAR",67807,"SHELL ISTANBUL JET SOCAR","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","STAR",65734.568,"STAR","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","OMV",49875.764,"OMV","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","SOCAR,SHELL,THY OPET",49211.414,"SOCAR SHELL THY OPET","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","THY OPET",32855.829,"THY OPET","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","PETROL OFİSİ",32664.209,"PETROL OFISI","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","SOCAR/SHELL İST HAVACILIK",7584.754,"SOCAR SHELL IST HAVACILIK","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","THY OPET/SHELL",5176.263,"THY OPET SHELL","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","TRANSPET",4573.21,"TRANSPET","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","STAR ALIAGA","SHELL",1491.883,"SHELL","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","Egegaz Aliağa LNG Terminali","BOTAŞ Boru Hatları ile Petrol Taşıma A.Ş.",3129101.52,"BOTAS BORU HATLARI ILE PETROL TASIMA A S","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","ETKİ Liman İşletmeleri Doğalgaz İthalat ve Ticaret A.Ş.","BOTAŞ Boru Hatları ile Petrol Taşıma A.Ş",1808399.29,"BOTAS BORU HATLARI ILE PETROL TASIMA A S","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","PETKİM","PETKİM",184669,"PETKIM","Aliağa","İzmir","TR-35"
"Aliağa Bölge Liman Başkanlığı","PETKİM","AKSA",55085.23,"AKSA","Aliağa","İzmir","TR-35"
